portname,lat,lon,industry_top1,baseline_2023,avg_2024,pre_hormuz_2026,post_hormuz_2026,pct_change_redsea,pct_change_hormuz,role_redsea,role_hormuz
Oresund Strait,55.50784043,12.85079477,Mineral Products,45.5953947368421,45.26502732240437,42.53448275862069,41.41477272727273,-0.7245631194651936,-2.632475955337732,Control,Other
Balabac Strait,7.413614993177675,117.11462168266297,,10.799342105263158,11.28688524590164,9.5,10.857954545454545,4.5145633491958215,14.294258373205725,Control,Other
Torres Strait,-9.86253413199954,142.247528743501,Mineral Products,9.539473684210526,9.42896174863388,8.913793103448276,8.948863636363637,-1.1584699453551894,0.3934411816423511,Control,Other
Magellan Strait,-52.6403396677892,-69.5948324606974,Mineral Products,4.134868421052632,4.66120218579235,3.103448275862069,4.6022727272727275,12.729153896648704,48.29545454545456,Excluded,Other
Luzon Strait,20.488890710794,121.352295045579,Mineral Products,74.41447368421052,79.70765027322405,67.32758620689656,79.73863636363636,7.113100888781321,18.43382609707833,Control,Other
Ombai Strait,-8.39854120024364,125.090981399512,Mineral Products,10.555921052631579,10.98360655737705,9.413793103448276,9.403409090909092,4.051617121926543,-0.11030636030635588,Control,Other
Dover Strait,51.03022414,1.505839717,Mineral Products,175.69078947368422,171.83333333333334,165.72413793103448,166.60795454545453,-2.195593833863818,0.5333059054969169,Control,Other
Makassar Strait,0.352280586988657,119.257065444388,Mineral Products,57.70065789473684,54.74590163934426,46.58620689655172,48.73863636363637,-5.120836335666978,4.620314918242396,Control,Other
Windward Passage,19.9861871932071,-73.6975398964955,Mineral Products,15.256578947368421,15.103825136612022,15.172413793103448,16.505681818181817,-1.0012323947810597,8.787448347107429,Control,Other
Tsugaru Strait,41.32803599,140.3532743,Mineral Products,45.08552631578947,46.25136612021858,40.44827586206897,51.34090909090909,2.5858405117937133,26.929783771215998,Control,Other
Panama Canal,9.120512367,-79.76723825,Mineral Products,31.68092105263158,26.549180327868854,31.448275862068964,32.44886363636363,-16.19820558953243,3.1816935805422553,Control,Other
Gibraltar Strait,35.94227416,-5.754895722,Mineral Products,146.21052631578948,133.28961748633878,131.72413793103448,132.3806818181818,-8.837194663771175,0.498423369823886,Control,Other
Kerch Strait,45.26676309041701,36.54390169965004,,9.24671052631579,4.666666666666667,12.517241379310345,8.75,-49.531602039606305,-30.09641873278237,Excluded,Other
Yucatan Channel,21.8152541926988,-85.6472792223515,Mineral Products,45.19736842105263,47.91256830601093,48.62068965517241,53.59659090909091,6.007429148670473,10.234123146357188,Control,Other
Bering Strait,65.96648859155934,-165.54982861145731,,0.8421052631578947,0.8688524590163934,0.06896551724137931,0.8125,3.176229508196715,1078.125,Excluded,Other
Sunda Strait,-5.96684057041462,105.775219888066,Mineral Products,30.023026315789473,32.24863387978142,35.91379310344828,33.44886363636363,7.413002075748354,-6.863461790250092,Control,Other
Bohai Strait,38.373044249766,120.900049176636,Mineral Products,182.60855263157896,172.0928961748634,166.6206896551724,163.91477272727272,-5.758578284080363,-1.6239981562311878,Control,Other
Mona Passage,18.4487355684237,-67.7113544869163,Mineral Products,10.569078947368421,10.770491803278688,10.60344827586207,11.75,1.90568030490883,10.813008130081304,Control,Other
Cape of Good Hope,-34.92728556,20.88273666,Mineral Products,48.86513157894737,87.01092896174863,87.74137931034483,92.69886363636364,78.06342917786324,5.650109862627062,Absorbing,Red Sea affected
Taiwan Strait,24.72350972,119.8313644,Mineral Products,241.625,235.12295081967213,227.0,239.6931818181818,-2.690967068940664,5.591710052062471,Excluded,Other
Strait of Hormuz,26.29685349,56.85984844,Mineral Products,95.625,91.10928961748634,68.05172413793103,7.113636363636363,-4.722311511125399,-89.54672133035447,Excluded,Blockaded
Bosporus Strait,41.16928167,29.09150126,Mineral Products,97.35855263157895,97.74043715846994,80.01724137931035,82.0340909090909,0.3922454849304424,2.5205186969892823,Excluded,Other
Mindoro Strait,12.468315371959248,120.40342787801248,,50.18092105263158,43.35245901639344,36.775862068965516,46.76136363636363,-13.607685735931796,27.152324937135063,Control,Other
Bab el-Mandeb Strait,12.78859715,43.34954476,Mineral Products,74.58552631578948,32.51639344262295,35.241379310344826,34.6875,-56.403882832506945,-1.5716731898238745,Diverted from,Red Sea affected
Malacca Strait,1.516954817,102.6651061,Mineral Products,218.98684210526315,223.43715846994536,241.5344827586207,220.17045454545453,2.032230028936177,-8.845125536181298,Control,Other
Korea Strait,34.13076811,129.209206,Mineral Products,236.94078947368422,234.827868852459,188.05172413793105,212.0625,-0.8917504773739648,12.768176400476762,Control,Other
Lombok Strait,-8.41914514129252,115.801433044024,Mineral Products,37.04276315789474,37.060109289617486,37.43103448275862,37.0,0.04682731590190947,-1.1515430677107252,Control,Other
Suez Canal,30.59334599,32.43688221,Mineral Products,73.63157894736842,39.612021857923494,40.206896551724135,40.89204545454545,-46.20240062183372,1.7040581631061924,Diverted from,Red Sea affected
