date,origin_ma28,alt_ma28,origin,alternative,corridor,substitution_ratio
2019-01-31,48.92857142857143,47.67857142857143,Suez Canal,Cape of Good Hope,asia_europe,0.9744525547445255
2019-02-07,49.82142857142857,47.107142857142854,Suez Canal,Cape of Good Hope,asia_europe,0.9455197132616487
2019-03-06,50.57142857142857,51.535714285714285,Suez Canal,Cape of Good Hope,asia_europe,1.0190677966101696
2019-03-17,50.535714285714285,48.17857142857143,Suez Canal,Cape of Good Hope,asia_europe,0.953356890459364
2019-03-20,50.82142857142857,47.285714285714285,Suez Canal,Cape of Good Hope,asia_europe,0.9304286718200984
2019-03-24,49.964285714285715,45.25,Suez Canal,Cape of Good Hope,asia_europe,0.9056468906361687
2019-04-28,52.107142857142854,45.642857142857146,Suez Canal,Cape of Good Hope,asia_europe,0.875942426319397
2019-05-08,51.17857142857143,45.607142857142854,Suez Canal,Cape of Good Hope,asia_europe,0.8911374738311234
2019-05-18,51.642857142857146,45.0,Suez Canal,Cape of Good Hope,asia_europe,0.871369294605809
2019-05-29,51.25,45.035714285714285,Suez Canal,Cape of Good Hope,asia_europe,0.8787456445993032
2019-06-14,51.392857142857146,48.25,Suez Canal,Cape of Good Hope,asia_europe,0.9388464211257818
2019-07-24,51.464285714285715,50.107142857142854,Suez Canal,Cape of Good Hope,asia_europe,0.9736294240111033
2019-08-05,53.5,52.107142857142854,Suez Canal,Cape of Good Hope,asia_europe,0.9739652870493991
2019-09-04,54.32142857142857,50.035714285714285,Suez Canal,Cape of Good Hope,asia_europe,0.9211045364891519
2019-09-11,53.82142857142857,50.5,Suez Canal,Cape of Good Hope,asia_europe,0.9382879893828799
2019-09-24,52.714285714285715,51.67857142857143,Suez Canal,Cape of Good Hope,asia_europe,0.9803523035230353
2019-10-11,54.42857142857143,53.75,Suez Canal,Cape of Good Hope,asia_europe,0.9875328083989501
2019-11-16,54.857142857142854,48.32142857142857,Suez Canal,Cape of Good Hope,asia_europe,0.880859375
2019-12-03,53.67857142857143,46.035714285714285,Suez Canal,Cape of Good Hope,asia_europe,0.8576180971390551
2019-12-14,54.82142857142857,44.107142857142854,Suez Canal,Cape of Good Hope,asia_europe,0.8045602605863192
